Data Size,Time in millisecond
133764, 1053
66553, 37203801
132491, 62087958
132528, 184023736
52479, 222509287
133535, 289216541
76195, 328420201
130480, 565518403
42603, 615475635
131384, 629108611
132958, 765288641
135404, 1065968042
61055, 1098245499
102941, 1159697044
59479, 1183965519
88342, 1236768509
61375, 1266125304
54024, 1315546919
59418, 1349770487
61089, 1383272937
46006, 1413716913
46826, 1446747479
52935, 1502131106
60256, 1536597408
64671, 1566406991
50273, 1583143037
50469, 1615800474
61972, 1651965283
58753, 1683999145
60751, 1717258621
61417, 1750900429
60967, 1782926599
62779, 1815892197
88366, 1852419234
99867, 1887559284
80379, 1918020234
54667, 1949736607
